"Marca temporal","¿Usas herramientas de inteligencia artificial (como ChatGPT, Gemini, DeepSeek, etc.)?","Sexo","Municipio ","1 Creo que es importante aprender sobre inteligencia artificial (IA)","
2 Las clases de inteligencia artificial (IA) son importantes","3 Creo que en la escuela se debería impartir clases de inteligencia artificial (IA)","4 Creo que todos los estudiantes deberían aprender sobre inteligencia artificial (IA) en la escuela","5 La inteligencia artificial (IA) es muy importante para el desarrollo de la sociedad","6 La inteligencia artificial (IA) está relacionada con mi vida","7 Utilizaré la inteligencia artificial (IA) para resolver problemas de la vida cotidiana","8 La inteligencia artificial (IA) me ayuda a resolver problemas en la vida real","9 En el futuro necesitare inteligencia artificial (IA) en mi vida","10 La inteligencia artificial (IA) es necesaria para todos","11 Quiero trabajar en el campo de la inteligencia artificial (IA)","12 Elegiré un trabajo en el campo de la inteligencia artificial (IA)","13 Participaría en un club relacionado con la inteligencia artificial (IA) si lo hubiera","14 Me gusta utilizar objetos relacionados con la inteligencia artificial (IA)","15 Es divertido aprender sobre la inteligencia artificial (IA)","
16 Quiero seguir aprendiendo sobre la inteligencia artificial (IA)","17 Me interesa los programas de televisión o los videos en línea relacionados con la inteligencia artificial (IA)","18 Quiero hacer algo que haga la vida más humana más cómoda a través de la inteligencia artificial (IA)","
19 Me interesa el desarrollo de la inteligencia artificial (IA)","
20 Es interesante utilizar la inteligencia artificial (IA)","21 Creo que debería haber más horas de clase dedicadas a la inteligencia artificial (IA) en la escuela","22 Creo que puedo manejar bien la inteligencia artificial (IA)"
"2025/05/27 12:47:20 p.m. GMT-6","Sí, ir al cuestionario","Mujer","Gómez Palacio","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2025/05/27 12:48:13 p.m. GMT-6","Sí, ir al cuestionario","Hombre","Gómez Palacio","3","3","2","3","3","3","3","1","3","3","3","3","3","3","4","3","2","2","2","2","2","2"
"2025/05/27 12:50:04 p.m. GMT-6","Sí, ir al cuestionario","Hombre","Gómez Palacio","3","3","1","2","2","1","1","2","1","2","1","2","2","2","2","2","2","2","2","2","1","2"
"2025/05/27 12:52:10 p.m. GMT-6","Sí, ir al cuestionario","Mujer","Gómez Palacio","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2025/05/27 12:55:09 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/27 12:57:37 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/27 12:58:22 p.m. GMT-6","A veces, ir al cuestionario","Mujer","Gómez Palacio","1","1","2","1","5","5","5","3","5","5","2","5","5","3","2","5","4","5","5","5","3","3"
"2025/05/27 12:59:47 p.m. GMT-6","A veces, ir al cuestionario","Hombre","Gómez Palacio","4","4","4","4","4","4","3","3","4","4","4","4","3","3","3","3","3","3","4","4","4","4"
"2025/05/27 1:01:15 p.m. GMT-6","A veces, ir al cuestionario","Hombre","Gómez Palacio","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"2025/05/27 1:14:08 p.m. GMT-6","A veces, ir al cuestionario","Hombre","Gómez Palacio","4","4","3","5","3","2","3","2","5","4","2","3","4","3","4","3","4","3","2","4","3","3"
"2025/05/27 1:15:46 p.m. GMT-6","Sí, ir al cuestionario","Mujer","Gómez Palacio","4","4","4","4","3","2","2","2","3","3","3","3","4","4","4","4","4","4","4","4","3","3"
"2025/05/27 1:36:01 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/27 1:50:17 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/27 1:50:20 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/27 2:04:08 p.m. GMT-6","Sí, ir al cuestionario","Mujer","Gómez Palacio","5","5","5","5","4","2","3","3","4","5","2","2","1","3","4","4","4","4","4","4","4","5"
"2025/05/27 2:05:25 p.m. GMT-6","A veces, ir al cuestionario","Mujer","Gómez Palacio","4","3","2","2","2","2","2","2","1","2","2","1","2","2","3","3","3","2","2","3","3","3"
"2025/05/27 2:14:26 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/27 2:15:12 p.m. GMT-6","A veces, ir al cuestionario","Hombre","Gómez Palacio","4","3","3","5","4","3","1","1","3","3","2","1","1","1","3","3","1","3","1","1","1","5"
"2025/05/27 2:31:23 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/27 2:51:03 p.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","5","5","5","5","5","4","5","5","5","5","3","4","4","5","5","5","5","5","5","5","4","4"
"2025/05/27 3:03:14 p.m. GMT-6","Sí, ir al cuestionario","Mujer","Gómez Palacio","2","5","5","5","2","1","2","2","1","3","2","1","5","5","5","5","2","2","5","2","2","2"
"2025/05/27 3:06:39 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/27 3:20:39 p.m. GMT-6","A veces, ir al cuestionario","Mujer","Gómez Palacio","4","4","4","4","3","3","2","2","3","2","3","3","3","3","3","3","3","3","3","3","2","3"
"2025/05/27 3:20:45 p.m. GMT-6","Sí, ir al cuestionario","Hombre","Gómez Palacio","3","3","2","2","2","2","2","2","2","2","2","2","3","2","2","2","2","2","2","2","2","2"
"2025/05/27 3:37:27 p.m. GMT-6","A veces, ir al cuestionario","Mujer","Gómez Palacio","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2025/05/27 3:48:03 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/27 4:13:36 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/27 4:38:39 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/27 5:16:37 p.m. GMT-6","A veces, ir al cuestionario","Hombre","Gómez Palacio","1","1","1","1","1","1","5","5","5","5","1","1","1","5","1","1","2","2","1","1","4","2"
"2025/05/27 5:23:29 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/27 5:37:34 p.m. GMT-6","A veces, ir al cuestionario","Mujer","Gómez Palacio","3","4","4","4","4","3","3","3","3","3","3","3","4","4","4","4","4","4","4","4","3","3"
"2025/05/27 5:46:46 p.m. GMT-6","Sí, ir al cuestionario","Mujer","Durango","5","5","3","4","4","3","4","4","3","3","3","3","4","5","5","5","3","3","3","4","3","3"
"2025/05/27 5:53:29 p.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","4","3","4","3","3","3","4","3","4","4","4","4","3","4","4","3","3","3","5","4","3","3"
"2025/05/27 5:56:45 p.m. GMT-6","Sí, ir al cuestionario","Mujer","Durango","3","1","1","2","1","1","1","1","4","1","1","2","1","3","1","1","4","1","1","1","1","4"
"2025/05/27 6:00:38 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/27 6:00:49 p.m. GMT-6","Sí, ir al cuestionario","Hombre","Gómez Palacio","3","3","3","3","3","3","3","2","3","3","3","3","3","3","3","3","3","3","3","3","2","3"
"2025/05/27 6:01:11 p.m. GMT-6","A veces, ir al cuestionario","Mujer","Gómez Palacio","5","5","5","5","5","3","3","5","5","5","5","4","4","3","5","5","5","3","5","5","5","3"
"2025/05/27 6:01:18 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/27 6:02:34 p.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","1","1","1","1","1","1","1","2","3","2","3","1","1","1","3","1","1","3","3","3","3","3"
"2025/05/27 6:04:40 p.m. GMT-6","Sí, ir al cuestionario","Hombre","Durango","5","1","1","1","1","1","1","1","1","1","1","1","1","1","5","1","1","5","1","1","1","1"
"2025/05/27 6:07:21 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/27 6:09:18 p.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","5","3","3","5","3","3","2","2","2","4","3","4","3","4","4","4","3","3","4","3","2","3"
"2025/05/27 6:13:58 p.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"2025/05/27 6:17:05 p.m. GMT-6","Sí, ir al cuestionario","Mujer","Durango","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2025/05/27 6:18:17 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/27 6:24:03 p.m. GMT-6","Sí, ir al cuestionario","Mujer","Durango","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2025/05/27 6:25:36 p.m. GMT-6","Sí, ir al cuestionario","Mujer","Gómez Palacio","5","5","5","5","5","2","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"2025/05/27 6:27:57 p.m. GMT-6","Sí, ir al cuestionario","Hombre","Durango","1","2","2","3","2","2","2","3","5","3","3","4","3","3","3","3","3","3","3","3","3","3"
"2025/05/27 6:31:56 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/27 6:38:27 p.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","3","4","3","2","3","2","1","2","3","3","1","1","2","3","4","2","2","3","1","4","2","3"
"2025/05/27 6:41:17 p.m. GMT-6","Sí, ir al cuestionario","Hombre","Durango","4","4","4","4","3","2","2","2","4","2","2","2","1","4","3","2","3","2","3","4","3","3"
"2025/05/27 6:51:50 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/27 6:52:31 p.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","3","2","3","3","1","1","1","1","3","2","1","1","2","1","1","1","1","1","2","1","1","1"
"2025/05/27 6:54:55 p.m. GMT-6","Sí, ir al cuestionario","Mujer","Durango","1","1","1","2","2","4","4","4","3","3","3","3","1","1","2","2","3","2","3","2","3","3"
"2025/05/27 7:11:57 p.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","4","3","1","3","4","1","3","4","3","4","1","2","3","2","5","4","3","3","3","4","2","3"
"2025/05/27 7:26:42 p.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","4","3","2","3","3","3","4","3","3","4","2","1","2","3","4","4","3","3","4","3","2","3"
"2025/05/27 7:27:35 p.m. GMT-6","Sí, ir al cuestionario","Mujer","Durango","4","3","3","3","4","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"2025/05/27 7:32:20 p.m. GMT-6","A veces, ir al cuestionario","Mujer","Gómez Palacio","3","4","5","3","3","3","1","1","3","3","1","1","3","4","3","3","3","3","4","4","5","4"
"2025/05/27 7:41:38 p.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"2025/05/27 7:50:01 p.m. GMT-6","Sí, ir al cuestionario","Hombre","Gómez Palacio","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2025/05/27 8:07:24 p.m. GMT-6","Sí, ir al cuestionario","Hombre","Durango","1","1","1","1","2","2","4","4","3","4","3","4","1","2","2","2","1","1","3","2","1","1"
"2025/05/27 8:09:14 p.m. GMT-6","Sí, ir al cuestionario","Mujer","Durango","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1"
"2025/05/27 8:12:10 p.m. GMT-6","Sí, ir al cuestionario","Mujer","Gómez Palacio","4","5","5","4","4","3","2","1","3","4","3","3","4","3","5","4","4","5","4","5","5","5"
"2025/05/27 8:26:21 p.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","3","5","3","3","3","4","3","4","4","3","3","1","1","3","4","5","3","3","4","4","3","2"
"2025/05/27 8:34:53 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/27 8:39:22 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/27 8:49:20 p.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","3","3","4","4","3","2","2","2","3","4","4","3","3","3","3","3","3","3","3","3","3","2"
"2025/05/27 8:58:23 p.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","5","5","5","5","5","3","2","3","2","5","5","2","5","5","5","5","5","1","5","5","3","5"
"2025/05/27 9:01:15 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/27 9:23:54 p.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","4","3","3","4","4","2","3","4","3","2","1","1","3","4","4","4","4","3","5","5","4","5"
"2025/05/27 10:02:40 p.m. GMT-6","Sí, ir al cuestionario","Mujer","Durango","5","5","5","5","5","1","3","3","5","5","3","3","3","3","5","5","5","5","5","4","5","5"
"2025/05/27 10:10:07 p.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","4","4","5","4","3","2","3","2","3","2","2","2","3","3","3","4","4","3","3","4","3","3"
"2025/05/27 11:05:54 p.m. GMT-6","A veces, ir al cuestionario","Hombre","Gómez Palacio","1","1","1","1","3","4","1","1","2","2","2","5","3","3","3","4","5","5","5","5","5","5"
"2025/05/27 11:38:31 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/28 6:36:27 a.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/28 7:26:48 a.m. GMT-6","A veces, ir al cuestionario","Hombre","Gómez Palacio","5","5","4","4","3","3","2","3","2","4","5","4","5","5","5","5","5","5","5","5","5","5"
"2025/05/28 7:50:08 a.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/28 9:04:30 a.m. GMT-6","A veces, ir al cuestionario","Mujer","Gómez Palacio","1","3","4","3","3","3","3","5","5","3","5","5","5","5","5","5","5","5","5","5","5","5"
"2025/05/28 9:09:50 a.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/28 9:23:44 a.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/28 9:25:48 a.m. GMT-6","Sí, ir al cuestionario","Mujer","Durango","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"2025/05/28 9:26:11 a.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/28 9:29:23 a.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","1","2","1","2","4","1","4","4","4","4","1","1","1","3","4","4","4","1","1","1","1","2"
"2025/05/28 9:29:54 a.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","4","4","4","4","3","1","2","1","3","3","4","2","2","2","3","3","2","3","3","3","3","1"
"2025/05/28 9:31:26 a.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2025/05/28 9:31:41 a.m. GMT-6","Sí, ir al cuestionario","Mujer","Durango","1","1","1","1","1","1","5","1","3","1","1","1","1","1","1","1","1","1","1","1","1","2"
"2025/05/28 9:31:57 a.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","3","3","5","3","4","2","3","3","3","4","5","3","5","4","2","3","3","2","3","3","3","3"
"2025/05/28 9:37:01 a.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/28 9:38:19 a.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/28 9:39:44 a.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/28 9:40:54 a.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","4","3","3","4","4","3","3","3","1","3","3","3","3","3","4","4","3","3","4","4","3","3"
"2025/05/28 9:41:04 a.m. GMT-6","Sí, ir al cuestionario","Hombre","Durango","5","5","5","5","3","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1"
"2025/05/28 9:41:30 a.m. GMT-6","Sí, ir al cuestionario","Hombre","Durango","4","4","4","5","5","4","5","4","3","4","3","3","3","4","4","5","4","4","4","5","4","4"
"2025/05/28 9:43:44 a.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","3","2","2","2"
"2025/05/28 9:43:48 a.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","5","5","5","5","5","5","3","3","5","5","3","3","3","3","3","5","5","3","3","3","3","1"
"2025/05/28 9:44:27 a.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","1","3","3","3","3","3","3","3","3","4","3","3","3","3","3","3","3","3","3","3","3","3"
"2025/05/28 9:46:21 a.m. GMT-6","Sí, ir al cuestionario","Mujer","Durango","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","3","1","1","1","1","1","1"
"2025/05/28 9:48:01 a.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","5","5","5","5","4","2","2","1","1","5","2","1","3","2","5","5","5","3","5","4","2","3"
"2025/05/28 9:54:44 a.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/28 9:59:43 a.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","3","4","4","4","4","2","2","2","1","4","1","3","1","1","3","1","3","3","3","4","3","3"
"2025/05/28 10:02:15 a.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/28 10:03:57 a.m. GMT-6","Sí, ir al cuestionario","Mujer","Durango","1","3","3","4","4","3","3","3","4","3","3","3","4","3","4","3","2","3","3","4","3","4"
"2025/05/28 10:28:54 a.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","4","4","4","4","2","2","2","2","3","3","2","3","3","3","4","3","4","3","3","4","4","2"
"2025/05/28 10:37:45 a.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","3","3","3","3","1","1","1","1","2","1","3","3","3","3","3","3","3","3","3","3","3","4"
"2025/05/28 10:38:35 a.m. GMT-6","Sí, ir al cuestionario","Mujer","Durango","4","4","4","4","3","3","4","4","4","4","3","3","2","2","3","3","3","3","3","4","3","3"
"2025/05/28 10:47:00 a.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","4","3","3","3","3","3","3","3","4","2","2","2","2","3","3","3","3","3","3","3","1","1"
"2025/05/28 10:56:45 a.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/28 10:58:40 a.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/28 11:05:29 a.m. GMT-6","Sí, ir al cuestionario","Mujer","Durango","5","4","5","5","5","5","3","3","3","3","5","4","4","4","4","4","4","3","4","4","4","4"
"2025/05/28 11:11:12 a.m. GMT-6","Sí, ir al cuestionario","Hombre","Durango","1","1","1","1","2","2","2","2","2","3","3","2","2","2","1","1","2","2","2","1","2","2"
"2025/05/28 11:21:21 a.m. GMT-6","Sí, ir al cuestionario","Hombre","Durango","5","3","3","3","3","3","3","4","5","4","3","3","3","3","3","4","3","3","3","3","3","3"
"2025/05/28 11:21:27 a.m. GMT-6","Sí, ir al cuestionario","Mujer","Durango","4","4","4","4","4","4","4","4","4","4","1","3","4","4","4","4","4","4","4","4","4","4"
"2025/05/28 11:22:28 a.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","4","4","4","4","3","3","2","1","1","3","2","5","5","5","4","4","5","4","4","4","4","4"
"2025/05/28 11:24:30 a.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/28 11:26:40 a.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","4","3","3","3","3","3","3","3","3","3","3","3","3","3","4","4","4","3","3","3","3","3"
"2025/05/28 11:29:10 a.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","3","3","4","4","2","2","2","1","3","2","3","3","3","3","3","3","3","3","3","3","3","3"
"2025/05/28 11:29:31 a.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","5","5","5","5","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"2025/05/28 11:30:31 a.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/28 11:31:32 a.m. GMT-6","Sí, ir al cuestionario","Mujer","Durango","5","5","5","5","3","3","5","3","2","3","1","1","4","5","5","5","5","3","3","2","2","5"
"2025/05/28 11:34:50 a.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/28 11:36:46 a.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/28 11:37:02 a.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","4","5","3","5","4","3","3","3","3","3","3","3","3","4","4","4","3","3","3","4","3","3"
"2025/05/28 11:37:11 a.m. GMT-6","Sí, ir al cuestionario","Mujer","Durango","5","1","1","2","2","1","1","1","1","1","2","2","1","1","1","2","5","5","3","2","1","1"
"2025/05/28 11:39:26 a.m. GMT-6","Sí, ir al cuestionario","Hombre","Durango","5","5","5","5","5","5","3","3","4","4","3","3","3","5","5","4","3","3","5","4","4","5"
"2025/05/28 11:40:17 a.m. GMT-6","Sí, ir al cuestionario","Mujer","Durango","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"2025/05/28 11:43:18 a.m. GMT-6","Sí, ir al cuestionario","Hombre","Durango","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"2025/05/28 11:43:32 a.m. GMT-6","Sí, ir al cuestionario","Hombre","Durango","5","5","5","5","4","4","4","3","5","4","4","5","4","4","3","5","3","3","3","3","3","2"
"2025/05/28 11:45:23 a.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/28 11:50:02 a.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","2","2","3","3","3","3","4","3","4","4","5","5","5","5","4","4","4","4","4","4","5","4"
"2025/05/28 11:53:00 a.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/28 11:54:57 a.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"2025/05/28 11:59:44 a.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","5","5","5","5","5","4","4","5","4","4","5","3","3","5","5","5","5","5","5","5","4","3"
"2025/05/28 12:08:24 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/28 12:10:52 p.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","4","3","3","3","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2025/05/28 12:19:30 p.m. GMT-6","Sí, ir al cuestionario","Hombre","Gómez Palacio","5","5","5","5","5","5","5","5","5","5","5","3","5","5","5","5","5","5","5","5","5","5"
"2025/05/28 12:24:32 p.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","3","1","3","3","3","1","1","1","3","3","3","1","3","1","5","3","1","3","3","3","1","1"
"2025/05/28 12:25:35 p.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","5","3","5","5","4","4","1","1","5","4","5","5","5","5","4","4","4","4","4","4","3","5"
"2025/05/28 12:28:02 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/28 12:33:39 p.m. GMT-6","Sí, ir al cuestionario","Mujer","Durango","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2025/05/28 12:35:26 p.m. GMT-6","Sí, ir al cuestionario","Hombre","Gómez Palacio","3","3","3","3","3","3","1","2","1","3","3","2","2","2","2","2","3","1","2","2","3","2"
"2025/05/28 12:38:18 p.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","4","3","3","3","3","2","2","3","2","2","1","1","2","3","3","3","3","3","3","3","3","3"
"2025/05/28 12:38:34 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/28 12:43:40 p.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","5","5","5","5","5","3","3","4","5","4","4","4","5","5","5","5","3","5","4","5","5","4"
